sample,function,label
"As I say, nowadays I get the information from you over the phone, and then when we've got somebody who said Oh no, it's only a small flat,  I've got this this and this and that's the big pieces of furniture, er if it's somebody that's done it on spec I say Well look give me a ring back in an hour if er when you've come off the phone you er there's something you've forgotten.",AS,
"She said, well look, go back to your doctor she says.",AS,
"So we know, we should and remember of course that in the book Freud chooses two examples as Joy told me the church and the army ... and these are just examples and of course Freud chooses them partly because they're very big groups so they in some ways they er exemplify the principles he's talking about because clearly in a small group like this you could say well look, what is going on is really  I mean we all have, we all know each other and it's a face-to-face group and really what happens here is an  of the dynamics  group and I think it is actually.",AS,
"Just to say, look,",AS,
but i can't my sister said look yknow you're not gonna change,AS,
So to get back to what we say er yeah I like to fix a date and if people phone up and say well look I've I've got something else or I've changed my mind I would rather have that than to have lots of paper work on my desk that just says may be or may be not.,AS,
"And he wasn't the sort of man what my mother could say, Now look this one's been naughty today will you chastise them?",AS,
And look I mean she'd never spend,DM,
"say to them ‘Look, I'm planning to try and do this work, but I don't just want to do this on my own, I want to take into account other people's views.’",AS,
"Erm look, flip your eyes down the bottom of the speech on page thirty one what is erm amusing which bits are amusing and describe the humour in that speech there by George?",AS,
"So I might be showing myself doing worst than I should be but, look, my actual come out about the same and so when I compare my actual with my planned, I get er, an answer which should approach one.",AS,
"Hello Bryony! Look! Come one toy can come and yes, I'm in here as well",AS,
"Look, I cannae give you one out of there though.",DM,
and there were sounds of things breaking and you know you look you know we at one point we woke up to the sound of the uh the electric lines being ripped off our house and,AS,
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,
"in fact, erm anybody that says a lot of sensible things and says look  if people are asked to  er, to er  increase their giving by nought percent that me , it probab",AS,
"We've not only got to say to the government, that you're not coping  you've got to say, if you're a mother, a worker and a wife, you've got to say to your husband, look, I'm not coping.",AS,
Look that will happen to everybody in this room and everybody outside.,AS,
"I mean o okay it's, it's a difficult area but I, I just don't believe the communications were that bad that he didn't know what was going on and wasn't in a position to say look this is wrong.",DM,
"Erm  in terms of taking up their ideas, guiding them, encouraging them etcetera  an and saying look, you know, this is okay er er er I mean to an extent that would depend on how much military security there was in the area.",AS,
"She's doing all these things really thrilled to bits, and I say, well look, you like this don't you?",AS,
look what I've got! I founded you ,DIR,
We can discuss thatMm Well Look QS fees are part of the seventy percent of the scaled fees Of course they are,AS,
"said look Ka Kath, gotta get to Plymouth tonight, I need to know.",AS,
"he's going in your seat ag , look, you don't, you, I've told you, you want your coats on",AS,
"point on six, er and he believed that my need was that I could go back to my manager, and say, look I got him up to two point one, [...] .",AS,
"Well look  why don't you just sketch it out on there so I know the sort of thing that yo  oh, you've got one have you?",AS,
"Ah look, she's back.",DIR,
we've that's that's the we're look we look it as as yeah we're living like this now but it's a short term investment for for a better lifestyle later on,AS,
"Mm, well look, what I'm going to say to you know is, time marches on, that, do you agree that we go ahead with what Lillian's suggesting?",AS,
"They said look, if males can have greater reproductive success than females can, then parents who have some way of knowing that their offspring are gonna be particularly reproductively successful should invest in males, whereas if they have some way of knowing that their offspring are not gonna be particularly reproductively successful, they should invest in females.",AS,
"Now look, you can't have everything!",AS,
"Look, look, you're ",AS,
"in the, in the sense that i if, if you look,i if you adopt a sort of retrospective view, I E if you look back from say  anything after nineteen forty nine and you say look, hold on erm  this was the final stage of the revolution.",AS,
"they've said oh look, this is Freud's Lamarckism, we know this is all wrong, so let's forget all that because it's not essential to Freud.",AS,
"Yes, you see the thing is one appointment can cock up your whole system, because if it like you said, if one, if a customer does happen to call in and say, look I need somebody in here desperately, when do you want it, when it's smack in the middle, it's not the other side of the world, but you know he's in Nuneaton or something, well you still have to go out and see him .",AS,
i i think they ought to take them and uh and i don't know just have sort of like a uh a a manpower pool and say okay look we need somebody,AS,
"So I rang him a bit later, Now look, we've got a weeks notice, we know it's gonna take some time.",DM,
"So we we well all I suggest is we get the three together after the meeting, John and our two men and say, well look, who's done it and if they haven't, see the other man when he comes on.",AS,
 lie down now. Look. He's coming in,DIR,
"Well look, I mean why don't I leave it to you to get in contact with",AS,
"look, look, I, I , I've got to go because I've got another meeting to go to this evening, erm, what, what I, er what we need to do is to get this laid out clearly as to what our projections ar are",AS,
"Er, it's not in my nature to be authoritarian with my students but if I could be authoritarian I would say look, you're not allowed to use that word, and if you do you've gotta pay a pound.",AS,
I just wanted to  KNOW Well look when are we having our next tutorial?,DM,
"Let's  have a look, look see. There are!",DIR,
"Well I don't know,ha ha haven't you got a position where er as, as we began to, to see last week, there is this radicalization coming in but the, the  er i i it's the peasants who've moved to the left of the Party, you're right, that they are inappropriate to this very moderate policy of rent reduction  erm a tax on collaborators  land is being redistributed  and isn't saying right we,i i in the same way that, that Mao was identifying the problem in  in  , either you, you follow the masses or you, you lead them but, but thereof we are behind them  and a sense the Party has gotta recognize that, it's gotta catch up with the masses  and isn't that first paragraph saying look this is the way you should be going, that there are peasants who are redistributing the land and land reform is in effect taking place and that's what we want to see",AS,
Oh look I'm getting pushed out the queue beca I'm gonna  There we are,DIR,
Oh look! The boys and girls are coming for play time I saw Erin,INTJ,
so the more we communicate hey look we want a change here because you know as it turns out we've wasted a tremendous amount of money on our defense spending in this country,AS,
So where might you say  Okay look er what I'd like to do is  ask questions.,AS,
"You know, if not, you know, if you're very, very poor in a, in a rural area, you may think, well look, there's, there's this chance, no matter how, how slim of me getting a, sort of proper job in the urban area, thus you may well take that chance.",DM,
"sshh, look, there's Paul look, there's Paul cleaning his car",DIR,
Anyway look there's Kids' County er Dorothy who do we need?,AS,
"I might be saying, look, it doesn't matter what proof I choose but you know, here is an interesting example of it.",AS,
could say to a parent but look the timetable says,DM,
"oh, right, erm, look I'll have to go and get changed, or I'm gonna be late",AS,
"Cheerio. This way. This way, look.",AS,
"Look, I understand your concerns, but let's consider the potential impact and innovation this work could bring — it may reshape our industry for the ",DM,
"And and you'd say, Oh look Mr my sole of my shoe's come loose.",INTJ,
look you guys are all into car payments we haven't had car payments for so many years i love it this way,AS,
Now look.,DIR,
Er look erm Kids' County anyway who are they talking about?,AS,
"And one thing we will learn from it I think, if we're honest with ourselves, and we put, and try and save up and have a piece on the end there, but the one thing I think we will perhaps come to, and the one conclusion we may come to, is the fact that whilst we, we do live in this world and I absolutely agree that if somebody says, look I need to see a new  as well, I need to see you now, or I need to see you tomorrow, that'll be difficult, OK, and that's the immediacy of the business",DM,
"Yes, look I'm sorry we've got to raise rents by nine and a half percent.",DM,
"Erm,  [tape jumps] was, or so his critics said, that er his theory just would not work and the kind of argument that they produced against him, and poor old Darwin really didn't have an answer to this, and i it seemed a very very severe problem at the time was look, supposing that er I'm a mutant  [tape jumps] you might think.",DM,
"Well of course she came running to me, you see, and we immediately phoned for the doctor, you see but, however, and I said, look, phone for the doctor, I said, and then I said go across to the railway police just across the yard and I asked one of them to come to me and I said I will go up with her and be with her until the doctor arrived, er he was with her the police sergeant when she died.",AS,
"And another way of showing how wealthy you were was to keep up with the fashion ‘look, I can afford to wear this year's dress, I'm not wearing last year's or the year before's’.",AS,
"This kettle, is covered with scale, now look, see Twelve point six is asking you which one of these is causing the problem?",AS,
